epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4742,1.03871,4.30401,1.46503,0.02883,0.82555,0.10924,0.09303,0.67749,3.2523,1.18967,0.000109832,0.000109832,0.000109832
2,43.2853,0.87218,3.79463,1.31835,0.47511,0.28018,0.31012,0.25522,0.80292,2.55688,1.32232,0.000218645,0.000218645,0.000218645
3,64.4145,0.89647,3.26367,1.33397,0.37599,0.4721,0.42047,0.33841,0.86403,2.12747,1.32323,0.000325261,0.000325261,0.000325261
4,85.361,0.90536,2.85685,1.32355,0.59605,0.48595,0.59512,0.46504,0.94685,1.85003,1.38771,0.00032311,0.00032311,0.00032311
5,106.335,0.83742,2.53039,1.26294,0.66236,0.61881,0.69651,0.53859,0.92836,1.55335,1.34618,0.000319813,0.000319813,0.000319813
6,127.537,0.81377,2.23038,1.23405,0.64123,0.77313,0.79148,0.60616,0.99486,1.45223,1.43404,0.000316517,0.000316517,0.000316517
7,148.988,0.81772,2.06115,1.23459,0.76225,0.62842,0.77055,0.62061,0.93206,1.24272,1.34476,0.00031322,0.00031322,0.00031322
8,170.607,0.78957,1.8617,1.20872,0.77012,0.74957,0.83586,0.68643,0.8083,1.01797,1.25207,0.000309923,0.000309923,0.000309923
9,192.909,0.7852,1.75546,1.20333,0.74603,0.7711,0.85072,0.67746,0.90065,1.05069,1.30035,0.000306626,0.000306626,0.000306626
10,215.498,0.75172,1.64162,1.19353,0.76002,0.83582,0.8866,0.70477,0.92408,0.93667,1.33192,0.00030333,0.00030333,0.00030333
11,237.4,0.76398,1.5543,1.17753,0.78673,0.80333,0.87997,0.71335,0.84862,0.91859,1.28794,0.000300033,0.000300033,0.000300033
12,259.502,0.75049,1.49035,1.17847,0.77165,0.78848,0.86573,0.7066,0.85588,1.03732,1.24365,0.000296736,0.000296736,0.000296736
13,281.526,0.73314,1.43841,1.17151,0.69119,0.84448,0.87777,0.69488,0.88463,0.94652,1.29845,0.00029344,0.00029344,0.00029344
14,303.545,0.72388,1.35342,1.16175,0.82017,0.88624,0.93252,0.7656,0.7922,0.77129,1.21543,0.000290143,0.000290143,0.000290143
15,328.474,0.72666,1.2957,1.1607,0.85107,0.84231,0.91245,0.73951,0.83907,0.78171,1.24649,0.000286846,0.000286846,0.000286846
16,353.179,0.70839,1.23987,1.14763,0.77298,0.79275,0.91261,0.72299,0.92659,0.87777,1.35468,0.00028355,0.00028355,0.00028355
17,375.925,0.69735,1.21212,1.13912,0.82754,0.79072,0.9096,0.72898,0.90375,0.90121,1.29993,0.000280253,0.000280253,0.000280253
